이름,주소,위도,경도,상세정보
금빛공원,부산광역시 북구 금곡동 53-2,35.26798628,129.0198289,
금빛노을브릿지,부산광역시 북구 구포동,35.21049,129.0017,
금사소공원,부산광역시 금정구 금사동 566,35.22362722,129.1115824,
금산공원,부산광역시 동래구 온천동 296-17,35.218818,129.076694,
금융지구공원,부산광역시 남구 문현동 1228-6,35.14654068,129.0644345,
금정공원,부산광역시 금정구 구서동 458-2,35.244967,129.087965,
금정산,부산광역시 금정구 금성동,35.280136,129.0512,
금천공원,부산광역시 금정구 금사동 25-5,35.223792,129.114729,
금호공원,부산광역시 강서구 대저2동 3146-2,35.16580654,128.9536671,
기비골공원,부산광역시 북구 덕천동 814-2,35.21803874,129.021114,
기장 달음산 자연휴양림,부산광역시 기장군 일광읍 용천리 산252,35.30242,129.18535,
기장 도예 관광 힐링촌 테마숲,부산광역시 기장군 장안읍 기룡리 산126,35.360134,129.23999,
기장향교,부산광역시 기장군 기장읍 교리 62,35.25757498,129.2158808,
기찰공원,부산광역시 금정구 부곡동 26-11,35.24182299,129.0943291,
길천공원,부산광역시 기장군 장안읍 길천리 산 109-9,35.32779759,129.2843173,
까치공원,부산광역시 금정구 장전동 220-2,35.23800895,129.086307,
까치어린이공원,부산광역시 부산진구 개금동 1-10,35.16352419,129.0258829,
깡깡이 예술마을,부산광역시 영도구 대평동2가 208,35.092648,129.03255,
꽃게공원,부산광역시 강서구 명지동 3313-9,35.1114825,128.9210893,
꽃내음마당공원,부산광역시 기장군 기장읍 내리 797,35.2019611,129.2069131,
꽃님공원,부산광역시 사하구 감천동 502-37,35.08951404,129.002416,
꽃다래공원,부산광역시 해운대구 반송동 산51-120,35.2188983,129.1558447,
꽃망울공원,부산광역시 해운대구 반송동 891,35.22818449,129.1590067,
꽃보라공원,부산광역시 기장군 정관읍 방곡리 411,35.32305743,129.1874162,
꿀벌공원,부산광역시 강서구 명지동 3406,35.093227,128.9147464,
꿈나래공원,부산광역시 강서구 지사동 1189-7,35.149803,128.835211,
꿈나래공원,부산광역시 북구 덕천동 805,35.20600869,129.0132406,
꿈나무공원,부산광역시 동래구 온천동 1853-13,35.20990174,129.0692532,
꿈나무공원,부산광역시 연제구 연산동 1478-1,35.18448121,129.0762522,
꿈나무공원,부산광역시 해운대구 좌동1336,35.1663624,129.1776921,
꿈동산공원,부산광역시 사하구 다대동 940,35.05791039,128.9690906,
꿈동산어린이공원,부산광역시 부산진구 양정동 91-2,35.1744214,129.0774871,
꿈마루공원,부산광역시 북구 덕천동 813,35.205895,129.0118896,
꿈에공원,부산광역시 해운대구 반여동 1601-2,35.20118385,129.1322645,
나라어린이공원,부산광역시 사상구 엄궁동 726-2,35.12757501,128.9778343,
나래울공원,부산광역시 기장군 정관읍 달산리 1198,35.3208811,129.1847064,
나무누리공원,부산광역시 기장군 정관읍 용수리 1356,35.327531,129.1660343,
나뭇잎공원,부산광역시 강서구 명지동 3428-4,35.094776,128.921641,
낙민공원,부산광역시 동래구 낙민동 92-8,35.19559115,129.097216,
남강공원,부산광역시 강서구 미음동 1553-7,35.156126,128.856431,
남광공원,부산광역시 남구 대연동 1898,35.12167453,129.0902971,
남명공원,부산광역시 강서구 명지동 3243-3,35.083292,128.909979,
남문사거리1 가로공원,부산광역시 연제구 거제동 18-53,35.18833128,129.0751508,
남문사거리2 가로공원,부산광역시 연제구 거제동 454-1,35.18811742,129.0740384,
남산공원,부산광역시 금정구 남산동 988-4,35.266611,129.086972,
남산공원,부산광역시 기장군 기장읍 서부리 403,35.2505951,129.2102831,
남산정공원,부산광역시 북구 덕천동 814-7,35.21574398,129.0227987,
남포지하도상가,부산광역시 중구 남포동5가 83-2,35.09800844,129.0320056,
낫개가로공원,부산광역시 사하구 다대동 120-5,35.0608144,128.9796781,
광복지하도상가,부산광역시 중구 중앙동1가 25-2,35.10022856,129.0356502,
내원정사,부산광역시 서구 서대신동3가 1,35.126575,129.01202,
너울공원,부산광역시 강서구 명지동 3439,35.09581412,128.925039,
너울공원,부산광역시 수영구 민락동 779,35.16556806,129.1200926,
너울소공원,부산광역시 금정구 부곡동 64-31,35.24198217,129.0914307,
널구지공원,부산광역시 수영구 민락동 336-43,35.16325038,129.129053,
노을공원,부산광역시 해운대구 반여동 1635,35.20209966,129.1235168,
녹산고향동산,부산광역시 강서구 범방동 1998,35.15428075,128.8861797,
놀이마당공원,부산광역시 금정구 청룡동 49,35.27601498,129.087134,
누리마루 APEC하우스 ,부산광역시 해운대구 우동 714-1,35.152336,129.15132,
누리바라기전망대,부산광역시 서구 남부민동 50-40,35.09092,129.02019,
누림공원,부산광역시 해운대구 좌동 1437-3,35.17311197,129.1842377,
느티나무공원,부산광역시 사하구 감천동 234-3,35.08187731,129.0061341,
늘푸른공원,부산광역시 수영구 남천동 152,35.141811,129.113478,
늘푸른공원,부산광역시 연제구 연산동 789,35.17961902,129.0815429,
늘품공원,부산광역시 강서구 명지동 3232-7,35.084518,128.900585,
다누림공원,부산광역시 사상구 학장동 288-12,35.14744572,128.9948438,
다대포 근린공원,부산광역시 사하구 다대동 1548-10,35.05011503,128.9628057,
다대포 바다누리길,부산광역시 사하구 다대동 468-6,35.046967,128.96936,
다대포 해수욕장,부산광역시 사하구 다대동 482-3,35.04652,128.96283,
다대포해변공원,부산광역시 사하구 다대동 1674,35.04608222,128.9666308,
다람쥐공원,부산광역시 금정구 남산동 975-4,35.269483,129.087828,
다소미공원,부산광역시 해운대구 중동 1508-10,35.1575399,129.1763098,
다솜공원,부산광역시 사상구 주례동 54-228,35.149216,129.0156066,
다송공원,부산광역시 사하구 다대동 94-1,35.06858736,128.9805874,
다온공원,부산광역시 사상구 엄궁동 674-2,35.12621941,128.9770501,
닥밭골 벽화마을,부산광역시 서구 동대신동2가 87-218,35.114338,129.02371,
단비동산공원,부산광역시 동래구 사직동 74-17,35.19779575,129.063094,
달님공원,부산광역시 금정구 남산동 989-12,35.266616,129.0857946,
담안골공원,부산광역시 해운대구 반송동 882(반송택지개발지구),35.2277501,129.163538,
당곡공원,부산광역시 남구 대연동 산210-4,35.12349905,129.0908733,
대동골소공원,부산광역시 남구 대연동 243-10,35.151303,129.088969,
대룡마을,부산광역시 기장군 장안읍 오리 103 ,35.370792,129.2628,
대명소공원,부산광역시 동래구 명장동 508-81,35.21130193,129.0983911,
대성공원,부산광역시 사하구 다대동 1552-3,35.04870983,128.9672813,
대신공원,부산광역시 서구 서대신동3가 산2-1,35.12181,129.01564,
대연공원,부산광역시 남구 대연동 1346-305,35.13769668,129.0945678,
대연문화공원,부산광역시 남구 대연동 1864,35.13962157,129.103957,
대연숲속소공원,부산광역시 남구 대연동 1808-4,35.137536,129.106734,
대연어린이공원,부산광역시 남구 대연동 1871,35.1371365,129.0796813,
대연혁신도시 어린이공원,부산광역시 남구 대연동 1860,35.14232896,129.0999842,
대일어린이공원,부산광역시 남구 대연동 1727-1,35.134016,129.0954482,
대저생태공원,부산 강서구 대저1동 1-5,35.20406,128.98305,
대천공원,부산광역시 북구 금곡동 1897,35.241114,129.0114933,
대천공원,부산광역시 해운대구 좌동 1381,35.18163195,129.1670878,
대천산림문화공원,부산광역시 해운대구 좌동 1390,35.18133943,129.1678283,
대천천수변공원,부산광역시 북구 화명동 311,35.24327534,129.0224416,
대청스카이전망대,부산광역시 중구 대청동4가 2-119,35.107513,129.02963,부산을 내려다볼 수 있는 곳
대항 어항동 방파제 등대,부산 강서구 대항동 393-3,35.011753,128.82515,
더불어공원,부산광역시 사하구 다대동 86-1,35.06674161,128.9825515,
더휴일X데스커 워케이션 센터,부산광역시 영도구 봉래동2가 115,35.095074,129.0427,
덕내공원,부산광역시 북구 덕천동 342-6,35.21380126,129.0137845,
덕두공원,부산광역시 강서구 대저2동 3136-3,35.17090941,128.9535289,
덕발공원,부산광역시 기장군 기장읍 청강리 188,35.23528153,129.2224012,
덕천개발지구(휴공원),부산광역시 북구 덕천동 807,35.20795005,129.0131982,
