상가업소번호,이름,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810695480,욜로복권방,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26320,북구,26320510,구포1동,2632010500,구포동,2.63201E+18,1,대지,700,165,부산광역시 북구 구포동 700-165,2.63203E+11,부산광역시 북구 시랑로,34,,2.63201E+24,,부산광역시 북구 시랑로 34,616803,46630,,1,,129.004263,35.20258538
MA010120220808268682,리틀빅,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2.64401E+18,1,대지,3420,2,부산광역시 강서구 명지동 3420-2,2.64403E+11,부산광역시 강서구 명지국제8로,254,,2.64401E+24,시온프라자,부산광역시 강서구 명지국제8로 254,618200,46772,,,,128.920548,35.09763837
MA010120220808387223,코인싱어동전노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2.62601E+18,1,대지,532,7,부산광역시 동래구 명륜동 532-7,2.62604E+11,부산광역시 동래구 충렬대로181번길,29,,2.62601E+24,,부산광역시 동래구 충렬대로181번길 29,607804,47736,,2,,129.0798636,35.20511279
MA010120220810770392,에이스노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26260,동래구,26260580,사직1동,2626010900,사직동,2.62601E+18,1,대지,101,7,부산광역시 동래구 사직동 101-7,2.62603E+11,부산광역시 동래구 여고로,11,,2.62601E+24,궁전스카이,부산광역시 동래구 여고로 11,607817,47875,,1,,129.0650805,35.19538112
MA010120220811553865,환타지노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26350,해운대구,26350580,반여2동,2635010300,반여동,2.63501E+18,1,대지,1291,507,부산광역시 해운대구 반여동 1291-507,2.63503E+11,부산광역시 해운대구 재반로,224,1,2.63501E+24,,부산광역시 해운대구 재반로 224-1,612813,48027,,,,129.1312179,35.19728962
MA010120220810787217,영노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2.64701E+18,1,대지,1320,49,부산광역시 연제구 연산동 1320-49,2.64703E+11,부산광역시 연제구 중앙천로,78,,2.64701E+24,,부산광역시 연제구 중앙천로 78,611826,47598,,,,129.080061,35.18099452
MA010120220806427185,트랜스바디짐,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26530,사상구,26530670,학장동,2653010700,학장동,2.65301E+18,1,대지,433,2,부산광역시 사상구 학장동 433-2,2.65304E+11,부산광역시 사상구 학감대로123번길,68,,2.65301E+24,에이케이빌딩,부산광역시 사상구 학감대로123번길 68,617845,47049,,1,,128.9846469,35.14134037
MA010120220811914970,장난감세상,R1,예술·스포츠,R104,유원지·오락,R10405,기타 오락장,R91229,기타 오락장 운영업,26,부산광역시,26530,사상구,26530580,삼락동,2653010100,삼락동,2.65301E+18,1,대지,418,28,부산광역시 사상구 삼락동 418-28,2.65304E+11,부산광역시 사상구 삼덕로46번길,108,,2.65301E+24,,부산광역시 사상구 삼덕로46번길 108,617827,46915,,1,,128.9804204,35.16929197
MA010120220809993210,단골닥터골프,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2.64101E+18,1,대지,85,9,부산광역시 금정구 구서동 85-9,2.64102E+11,부산광역시 금정구 중앙대로,1829,,2.64101E+24,,부산광역시 금정구 중앙대로 1829,609854,46273,,,,129.0919575,35.2476728
MA010120220810700010,인공위성,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26530,사상구,26530670,학장동,2653010700,학장동,2.65301E+18,1,대지,585,38,부산광역시 사상구 학장동 585-38,2.65303E+11,부산광역시 사상구 대동로,100,1,2.65301E+24,,부산광역시 사상구 대동로 100-1,617846,47051,,,,128.9789481,35.13842366
MA010120220810515732,복권방,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26380,사하구,26380580,장림1동,2638010500,장림동,2.63801E+18,1,대지,328,9,부산광역시 사하구 장림동 328-9,2.63803E+11,부산광역시 사하구 장림번영로,25,,2.63801E+24,,부산광역시 사하구 장림번영로 25,604843,49475,,,,128.9681863,35.08098619
