이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
워너짐온천장점,그 외 기타 스포츠시설 운영업,온천1동,부산광역시 동래구 온천동 198-11,부산광역시 동래구 금강로 91,129.0783692,35.21712378
일타뽑기방,기타 오락장 운영업,장전2동,부산광역시 금정구 장전동 415-3,부산광역시 금정구 금정로68번길 7,129.0870112,35.23084372
멋짐,체력 단련시설 운영업,구서2동,부산광역시 금정구 구서동 162-1,부산광역시 금정구 두실로 5,129.0905773,35.26023157
에임핏,체력 단련시설 운영업,온천2동,부산광역시 동래구 온천동 750-78,부산광역시 동래구 중앙대로1367번길 36,129.0760782,35.20995389
시네마파크,비디오물 감상실 운영업,장전2동,부산광역시 금정구 장전동 302-9,부산광역시 금정구 금정로60번길 24,129.0874821,35.2295019
부자클라쓰,복권 발행 및 판매업,구서2동,부산광역시 금정구 구서동 735-30,부산광역시 금정구 금강로 543,129.0875647,35.25585899
오늘피트니스,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 569-1,부산광역시 동래구 명륜로 134,129.0824917,35.2056984
라라골프랜드,골프 연습장 운영업,온천3동,부산광역시 동래구 온천동 1657-3,부산광역시 동래구 쇠미로129번길 140,129.056936,35.20718076
제이디피트니스,체력 단련시설 운영업,구서2동,부산광역시 금정구 구서동 1018-20,부산광역시 금정구 금강로565번길 26,129.0862969,35.25825988
티비에프,체력 단련시설 운영업,온천3동,부산광역시 동래구 온천동 1600,부산광역시 동래구 쇠미로129번길 62-12,129.0601178,35.20491881
세븐스타코인노래연습장 동래역점,노래 연습장 운영업,명륜동,부산광역시 동래구 명륜동 569-10,부산광역시 동래구 명륜로 130-1,129.0823988,35.20550175
골든벨노래연습장,노래 연습장 운영업,부곡3동,부산광역시 금정구 부곡동 225-55,부산광역시 금정구 중앙대로1719번길 37,129.0901411,35.23768346
해피점핑다이어트,체력 단련시설 운영업,부곡1동,부산광역시 금정구 부곡동 303-1,부산광역시 금정구 서부곡로 5,129.0910241,35.22587219
짱탁구장명륜 동래점,그 외 기타 스포츠시설 운영업,명륜동,부산광역시 동래구 명륜동 532-28,부산광역시 동래구 충렬대로181번길 28,129.0801117,35.20493731
용꿈로또,복권 발행 및 판매업,부곡3동,부산광역시 금정구 부곡동 218-4,부산광역시 금정구 무학송로 76,129.0932112,35.23790073
크로스핏에이치,체력 단련시설 운영업,온천3동,부산광역시 동래구 온천동 1443-1,부산광역시 동래구 충렬대로 110,129.072673,35.20644368
한큐당구장,당구장 운영업,장전2동,부산광역시 금정구 장전동 417-34,부산광역시 금정구 부산대학로50번길 8,129.0861307,35.23162488
복돼지복권,복권 발행 및 판매업,부곡1동,부산광역시 금정구 부곡동 325-4,부산광역시 금정구 부곡로 93,129.0912831,35.22440786
동래구국민체육센터,종합 스포츠시설 운영업,온천3동,부산광역시 동래구 온천동 1448-2,부산광역시 동래구 미남로 110,129.069834,35.20359956
어썸바디PT,체력 단련시설 운영업,장전2동,부산광역시 금정구 장전동 312-34,부산광역시 금정구 금정로 62,129.0865301,35.23006802
우리당구장,당구장 운영업,온천3동,부산광역시 동래구 온천동 1248-3,부산광역시 동래구 아시아드대로 241,129.0676649,35.20552005
엔젤노래연습장,노래 연습장 운영업,명륜동,부산광역시 동래구 명륜동 559-30,부산광역시 동래구 명륜로129번가길 12,129.0810339,35.20579557
케이2당구클럽,당구장 운영업,장전2동,부산광역시 금정구 장전동 423-17,부산광역시 금정구 금강로 246,129.0849874,35.22986932
아이린PC방 장전본점,컴퓨터 게임방 운영업,장전1동,부산광역시 금정구 장전동 153-5,부산광역시 금정구 금강로335번길 26,129.0849866,35.23798868
행운의열쇠복권방 구서,복권 발행 및 판매업,구서1동,부산광역시 금정구 구서동 413-11,부산광역시 금정구 금강로 425,129.0883846,35.2454276
티박스스크린 골프연습장,골프 연습장 운영업,온천1동,부산광역시 동래구 온천동 152-18,부산광역시 동래구 금강공원로20번길 46,129.0834997,35.22108172
써니스크린,골프 연습장 운영업,부곡3동,부산광역시 금정구 부곡동 225-58,부산광역시 금정구 중앙대로1719번길 47,129.089539,35.2373334
토이,전자 게임장 운영업,장전2동,부산광역시 금정구 장전동 418-11,부산광역시 금정구 금강로 274,129.0855268,35.23249138
뽀바뽀바,전자 게임장 운영업,장전1동,부산광역시 금정구 장전동 153-4,부산광역시 금정구 수림로71번길 43,129.0848098,35.23794667
레드버튼보드게임카페 부산대점,기타 오락장 운영업,장전2동,부산광역시 금정구 장전동 417-36,부산광역시 금정구 금정로 75,129.0863559,35.23141373
버니하우스 동래점,전자 게임장 운영업,명륜동,부산광역시 동래구 명륜동 569-10,부산광역시 동래구 명륜로 130-1,129.0823988,35.20550175
뽀끼왕,전자 게임장 운영업,명륜동,부산광역시 동래구 명륜동 502-5,부산광역시 동래구 삼성대길 48,129.0817291,35.20507171
타코이야기 두근두근복권판매점,복권 발행 및 판매업,구서2동,부산광역시 금정구 구서동 194-11,부산광역시 금정구 중앙대로 1903,129.0906433,35.25424684
수노래연습장,노래 연습장 운영업,명륜동,부산광역시 동래구 명륜동 533-26,부산광역시 동래구 명륜로129번길 45,129.0796892,35.20516084
지디알아카데미동래래미안점,골프 연습장 운영업,온천2동,부산광역시 동래구 온천동 1020-9,부산광역시 동래구 금정마을로 127-7,129.0667913,35.21177096
무지개당구장,당구장 운영업,구서2동,부산광역시 금정구 구서동 655,부산광역시 금정구 금강로565번길 11,129.0870031,35.25795032
위드골프존,골프 연습장 운영업,구서1동,부산광역시 금정구 구서동 83-8,부산광역시 금정구 중앙대로1826번길 10-8,129.0932392,35.24710994
와이트레이닝센터 동래점,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 753,부산광역시 동래구 명륜로187번길 47,129.0801333,35.21094762
카페반하나X금샘복권,복권 발행 및 판매업,구서2동,부산광역시 금정구 구서동 251-24,부산광역시 금정구 금강로 494,129.088011,35.25141765
짱탁구장 부산대정문점,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 419-15,부산광역시 금정구 부산대학로 57,129.0849143,35.23130341
애플노래연습장,노래 연습장 운영업,온천1동,부산광역시 동래구 온천동 137-10,부산광역시 동래구 온천장로107번길 22,129.0830365,35.22057603
오엑스피씨방 장전동점,컴퓨터 게임방 운영업,장전1동,부산광역시 금정구 장전동 95,부산광역시 금정구 금강로 379,129.0862133,35.24213984
이한나탁구클럽,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 401-5,부산광역시 금정구 금강로 271-5,129.0849609,35.23226683
비알비피씨방,컴퓨터 게임방 운영업,명륜동,부산광역시 동래구 명륜동 505-6,부산광역시 동래구 명륜로 125,129.0822053,35.20480218
오엑스PC방 부산대 2호점,컴퓨터 게임방 운영업,장전2동,부산광역시 금정구 장전동 308-4,부산광역시 금정구 금정로68번길 22,129.087671,35.23044484
버닝 텍사스홀덤 부산대점,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 418-17,부산광역시 금정구 부산대학로50번길 21,129.085995,35.23233011
위트레이닝PT스튜디오 온천점,그 외 기타 스포츠시설 운영업,온천1동,부산광역시 동래구 온천동 1850,부산광역시 동래구 온천장로65번길 9,129.079823,35.21643195
피트니스메이트그룹운동센터,체력 단련시설 운영업,온천1동,부산광역시 동래구 온천동 170-3,부산광역시 동래구 금강공원로 11,129.0831658,35.21832995
골든노래연습장,노래 연습장 운영업,명륜동,부산광역시 동래구 명륜동 537,부산광역시 동래구 명륜로129번길 44,129.079849,35.20540141
흥부와놀부,복권 발행 및 판매업,장전2동,부산광역시 금정구 장전동 415-13,부산광역시 금정구 부산대학로 39,129.0870168,35.2310599
스파볼링센터,볼링장 운영업,온천1동,부산광역시 동래구 온천동 165-2,부산광역시 동래구 금강공원로 10-1,129.08351,35.21890977
오엑스피씨온 천동점,컴퓨터 게임방 운영업,온천1동,부산광역시 동래구 온천동 183-8,부산광역시 동래구 온천장로 64,129.0817471,35.21695758
굿샷스크린골프,골프 연습장 운영업,구서1동,부산광역시 금정구 구서동 458-10,부산광역시 금정구 금강로 419,129.0882535,35.24502435
점프윙스줄넘기클럽 장전점,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 542-10,부산광역시 금정구 금강로 194,129.0825103,35.2257667
인앤스타,체력 단련시설 운영업,부곡2동,부산광역시 금정구 부곡동 235-1,부산광역시 금정구 중앙대로1685번길 7,129.0912393,35.23468169
둥지노래연습장,노래 연습장 운영업,부곡2동,부산광역시 금정구 부곡동 294-10,부산광역시 금정구 부곡로 128,129.0921127,35.2272051
21세기노래연습장,노래 연습장 운영업,장전1동,부산광역시 금정구 장전동 222-2,부산광역시 금정구 금정로149번길 13,129.0870486,35.23787202
원당구클럽,당구장 운영업,부곡2동,부산광역시 금정구 부곡동 295-10,부산광역시 금정구 부곡로 118,129.0920356,35.22634133
꼬마대통령 구서역점,그 외 기타 스포츠시설 운영업,구서1동,부산광역시 금정구 구서동 85-9,부산광역시 금정구 중앙대로 1829,129.0919575,35.2476728
브이엠짐,체력 단련시설 운영업,온천1동,부산광역시 동래구 온천동 183-8,부산광역시 동래구 온천장로 64,129.0817471,35.21695758
