이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,,,,,,
유미,부산광역시 금정구 구서동 1022-14,4,,,,,,,,,,,,,
유미,부산광역시 금정구 구서동 1022-14,5,,,,,,,,,,,,,
유미,부산광역시 금정구 구서동 1022-14,6,,,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,0,10:30,23:00,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,1,10:30,23:00,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,2,10:30,23:00,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,3,10:30,23:00,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,4,10:30,23:00,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,5,10:30,23:00,,,,,,,,,,,
도로시.C,부산광역시 금정구 구서동 1022-7,6,10:30,23:00,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,0,,,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,1,,,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,2,,,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,3,,,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,4,,,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,5,,,,,,,,,,,,,
장원각,부산광역시 금정구 구서동 1023-18,6,,,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,0,11:00,19:00,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,1,11:00,19:00,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,2,11:00,19:00,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,3,11:00,19:00,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,4,11:00,19:00,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,5,11:00,19:00,,,,,,,,,,,
열두달키친,부산광역시 금정구 구서동 1023-28,6,11:00,19:00,,,,,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,0,11:00,20:30,,,,,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,1,11:00,20:30,,,,,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,2,,,,,,TRUE,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,3,11:00,20:30,,,,,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,4,11:00,20:30,,,,,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,5,11:00,20:30,,,,,,,,,,,
이조면옥,부산광역시 금정구 구서동 1023-4,6,11:00,20:30,,,,,,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,0,16:00,23:00,,,,,,,,,,,
