이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
도담,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 185-1,부산광역시 금정구 구서중앙로 20,129.0883595,35.25600747
맛나감자탕 구서점,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 192-1,부산광역시 금정구 금강로 528,129.0880559,35.25445374
대박삼겹김치찜,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 192-23,부산광역시 금정구 금강로 522,129.0879019,35.25401483
참대나무닭숯불바베큐,치킨 전문점,구서2동,부산광역시 금정구 구서동 192-27,부산광역시 금정구 구서중앙로 19-1,129.089083,35.25466129
자하키친,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 192-5,부산광역시 금정구 구서중앙로15번길 2,129.0894138,35.25470964
열두달키친,치킨 전문점,구서2동,부산광역시 금정구 구서동 192-50,부산광역시 금정구 중앙대로1901번길 38,129.0891906,35.25414578
비비큐치킨 구서점,치킨 전문점,구서2동,부산광역시 금정구 구서동 192-59,부산광역시 금정구 구서중앙로 25,129.0883786,35.25461037
국일관,중식 음식점업,구서2동,부산광역시 금정구 구서동 192-7,부산광역시 금정구 구서중앙로 27,129.0882022,35.25458638
시골식당,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 194-3,부산광역시 금정구 구서중앙로 3-1,129.0908624,35.25464857
온푸드,치킨 전문점,구서2동,부산광역시 금정구 구서동 198-14,부산광역시 금정구 안뜰로8번길 5,129.0925642,35.25461013
자담치킨&호프,치킨 전문점,구서2동,부산광역시 금정구 구서동 201-40,부산광역시 금정구 중앙대로1893번길 16,129.090305,35.2534777
지코바치킨,치킨 전문점,구서2동,부산광역시 금정구 구서동 203-2,부산광역시 금정구 금강로 516,129.0879001,35.25351923
성덕수산,한식 해산물 요리 전문점,구서2동,부산광역시 금정구 구서동 203-42,부산광역시 금정구 구서중앙로15번길 26,129.0894094,35.25368241
스파빈,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 203-5,부산광역시 금정구 구서중앙로15번길 20,129.0890516,35.25386882
꾸바꾸바 남산점,치킨 전문점,구서2동,부산광역시 금정구 구서동 213-1,부산광역시 금정구 중앙대로1959번길 45,129.0886488,35.25914747
최가네충무김밥칼국수,한식 면 요리 전문점,구서2동,부산광역시 금정구 구서동 231-2,부산광역시 금정구 중앙대로1945번길 32,129.0894134,35.25811597
구세리1990,피자; 햄버거; 샌드위치 및 유사 음식점업,구서2동,부산광역시 금정구 구서동 246-17,부산광역시 금정구 중앙대로1873번길 19,129.0902493,35.25173945
월매아구찜,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 246-3,부산광역시 금정구 중앙대로1873번길 51,129.0901349,35.25327338
산들보리밥,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 246-33,부산광역시 금정구 중앙대로1873번길 39-8,129.0899847,35.25255506
생고기가맛있는그집,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 248-22,부산광역시 금정구 중앙대로1893번길 7,129.0908164,35.25328863
봉계숯불구이,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 248-3,부산광역시 금정구 중앙대로1893번길 5,129.0909587,35.25326815
에바돈가츠 구서점,일식 음식점업,구서2동,부산광역시 금정구 구서동 251-24,부산광역시 금정구 금강로 494,129.088011,35.25141765
루이안,중식 음식점업,구서1동,부산광역시 금정구 구서동 252-13,부산광역시 금정구 중앙대로1841번길 35,129.089945,35.24887006
맘스터치 구서역점,피자; 햄버거; 샌드위치 및 유사 음식점업,구서1동,부산광역시 금정구 구서동 252-15,부산광역시 금정구 중앙대로1841번길 29,129.0902508,35.2488017
빙동댕 부산구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 252-16,부산광역시 금정구 중앙대로1841번길 27,129.0903592,35.24874576
비비큐구서역점,치킨 전문점,구서1동,부산광역시 금정구 구서동 252-17,부산광역시 금정구 금강로446번길 43,129.0901927,35.24867654
황금오리,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 252-18,부산광역시 금정구 금강로446번길 41,129.0899511,35.24868072
도야족발보쌈 구서직영점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 252-33,부산광역시 금정구 중앙대로1841번길 41,129.0896641,35.24905514
홍콩반점0410 부산구서역점,중식 음식점업,구서1동,부산광역시 금정구 구서동 252-8,부산광역시 금정구 중앙대로1841번길 53,129.0892403,35.24923368
통한마리족발,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 258-12,부산광역시 금정구 금강로 452-1,129.0888007,35.24794363
