이름,지번주소,도로명주소,요일,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,휴무여부,비고
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,6,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,0,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,1,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,2,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,3,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,4,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,5,,,,,,,
1잔,부산광역시 남구 대연동 43-51,부산광역시 남구 수영로334번길 51,6,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,0,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,1,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,2,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,3,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,4,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,5,,,,,,,
1잔,부산광역시 부산진구 부전동 242-19,부산광역시 부산진구 중앙대로691번길 14,6,,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,0,"토,일",1,,,,TRUE,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,1,"토,일",1,8:00,16:00,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,2,"토,일",1,8:00,16:00,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,3,"토,일",1,8:00,16:00,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,4,"토,일",1,8:00,16:00,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,5,"토,일",1,8:00,16:00,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,6,"토,일",1,,,,TRUE,
