이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
락미,카페,커피 전문점,부산광역시 기장군 일광읍 문중리 102,,부산광역시 기장군 일광읍 문오성길 637,1,,129.258305,35.30359609,,,,,,
메가커피 동서대,카페,커피 전문점,부산광역시 사상구 주례동 187-5,,부산광역시 사상구 가야대로 358,1,,129.011795,35.15094061,,,,,,
웨스트사이드,카페,커피 전문점,부산광역시 서구 동대신동2가 265-11,,부산광역시 서구 보수대로 205,1,,129.0203276,35.11349903,,,,,,
백희,카페,커피 전문점,부산광역시 사상구 주례동 80-49,,부산광역시 사상구 가야대로366번길 64,1,,129.012805,35.1482924,,,,,,
디앤더블유커피,카페,커피 전문점,부산광역시 중구 부평동1가 27-9,,부산광역시 중구 부평2길 38,2,,129.0265577,35.10113,,,,,,
컴포즈 범냇골점,카페,커피 전문점,부산광역시 부산진구 범천동 864-1,다인로얄팰리스,부산광역시 부산진구 신천대로65번길 9,1,,129.0582991,35.14979877,,,,,,
지모리즈카페,카페,커피 전문점,부산광역시 영도구 청학동 148-105,,부산광역시 영도구 청학남로 39,,,129.0618238,35.08942373,,,,,,
두콩,카페,커피 전문점,부산광역시 중구 보수동1가 123-2,,부산광역시 중구 흑교로46번길 8,1,,129.0258922,35.10348418,,,,,,
초량1941,카페,커피 전문점,부산광역시 동구 초량동 845-1,,부산광역시 동구 망양로533번길 8,3,,129.0296993,35.1194794,,,,,,
꼬띠디앙,카페,기타 비알코올 음료점업,부산광역시 남구 대연동 292-9,,부산광역시 남구 진남로 21,3,,129.0913576,35.13694065,,,,,,
소문난팥빙수,카페,기타 비알코올 음료점업,부산광역시 수영구 광안동 116-17,,부산광역시 수영구 무학로9번길 17,1,,129.1149383,35.16260158,,,,,,
노천사랑방,카페,기타 비알코올 음료점업,부산광역시 금정구 부곡동 64-33,,부산광역시 금정구 중앙대로1793번길 54,3,,129.0915838,35.24253373,,,,,,
스몰굿커피,카페,커피 전문점,부산광역시 해운대구 좌동 1481-1,샤인빌딩,부산광역시 해운대구 세실로27번길 23,1,,129.1777856,35.16885894,,,,,,
커피사계,카페,커피 전문점,부산광역시 부산진구 전포동 327-11,,부산광역시 부산진구 진남로356번길 38,1,,129.0728796,35.15753438,,,,,,
쥬씨 동삼점,카페,기타 비알코올 음료점업,부산광역시 영도구 동삼동 510-13,,부산광역시 영도구 와치로 246,1,,129.068441,35.07533383,,,,,,
아리에떼,카페,커피 전문점,부산광역시 금정구 서동 194-22,,부산광역시 금정구 서동시장뒷길 11,,,129.1026244,35.21535306,,,,,,
샤이넌커피로스터스,카페,커피 전문점,부산광역시 남구 대연동 243-8,,부산광역시 남구 황령대로319번나길 57,2,,129.0902111,35.15216298,,,,,,
투썸플레이스 개금점,카페,커피 전문점,부산광역시 부산진구 개금동 186-8,,부산광역시 부산진구 가야대로 489,1,,129.0256387,35.15346745,,,,,,
이디야 부산대북문점,카페,커피 전문점,부산광역시 금정구 장전동 263-72,,부산광역시 금정구 금강로321번길 45,,,129.0839909,35.23685236,,,,,,
일번지커피,카페,기타 비알코올 음료점업,부산광역시 사상구 모라동 861-1,,부산광역시 사상구 사상로 478,,,128.9876036,35.18710762,,,,,,
아우어-브런,카페,커피 전문점,부산광역시 영도구 동삼동 356-31,,부산광역시 영도구 동삼로29번길 6,2,,129.0714053,35.07638265,,,,,,
고망고,카페,기타 비알코올 음료점업,부산광역시 해운대구 중동 1393-5,일부,부산광역시 해운대구 구남로 29,1,,129.1609978,35.16150002,,,,,,
모르나,카페,커피 전문점,부산광역시 영도구 청학동 218-2,,부산광역시 영도구 해양로 58-37,,,129.0620491,35.09662925,,,,,,
하삼동커피 명륜천일스카이원점,카페,커피 전문점,부산광역시 동래구 명륜동 618-5,천일스카이원,부산광역시 동래구 명륜로 151,1,,129.0816761,35.20729846,,,,,,
비에스상사,카페,커피 전문점,부산광역시 부산진구 부전동 450,네오스포,부산광역시 부산진구 신천대로 122,4,,129.054051,35.15364676,,,,,,
카페게더 롯데동래점,카페,커피 전문점,부산광역시 동래구 온천동 502-3,롯데백화점,부산광역시 동래구 중앙대로 1393,8,,129.0774734,35.21170521,,,,,,
로앙,카페,커피 전문점,부산광역시 연제구 연산동 1361-9,시청역SK뷰,부산광역시 연제구 중앙대로1043번길 34,,,129.0768019,35.18188855,,,,,,
디원카페,카페,커피 전문점,부산광역시 기장군 일광읍 이천리 132-21,,부산광역시 기장군 일광읍 일광로 326,3,,129.2529006,35.27241051,,,,,,
유달리,카페,커피 전문점,부산광역시 동래구 명륜동 450-4,,부산광역시 동래구 명륜로103번길 20,,,129.0820738,35.20309225,,,,,,
다안,카페,커피 전문점,부산광역시 부산진구 개금동 402-2,,부산광역시 부산진구 개금본동로 63,,,129.0209433,35.15749301,,,,,,
소보루,카페,커피 전문점,부산광역시 강서구 대저1동 2375-7,,부산광역시 강서구 대저로 263,,,128.9813714,35.21343386,,,,,,
만랩커피 부산동래점,카페,커피 전문점,부산광역시 동래구 명륜동 533-161,,부산광역시 동래구 명륜로129번길 58,,,129.0789935,35.20543413,,,,,,
빈티지38,카페,커피 전문점,부산광역시 부산진구 전포동 685-7,,부산광역시 부산진구 전포대로199번길 38,,,129.0631397,35.15465478,,,,,,
카페윤,카페,커피 전문점,부산광역시 서구 서대신동1가 29-7,웰컴하우스,부산광역시 서구 부용로 41,1,,129.0192758,35.10776705,,,,,,
헬로우먼데이,카페,커피 전문점,부산광역시 중구 중앙동4가 88-21,,부산광역시 중구 충장대로5번길 12,,,129.0370916,35.10626131,,,,,,
대애보이차고수,카페,기타 비알코올 음료점업,부산광역시 기장군 기장읍 서부리 222,,부산광역시 기장군 기장읍 읍내로50번길 26,,,129.2075137,35.24505153,,,,,,
감성휴게소,카페,커피 전문점,부산광역시 남구 용호동 482-8,목련5차,부산광역시 남구 용호로198번길 66,2,,129.109102,35.11589739,,,,,,
에이아이카페레드,카페,커피 전문점,부산광역시 기장군 기장읍 대라리 146-2,,부산광역시 기장군 기장읍 차성로 239,1,,129.2129582,35.23885146,,,,,,
콩카페365,카페,커피 전문점,부산광역시 사상구 덕포동 778-10,,부산광역시 사상구 백양대로 748,,,128.9884603,35.17361201,,,,,,
