이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
빡벳 연지래미안점,카페,커피 전문점,부산광역시 부산진구 초읍동 269-20,일부,부산광역시 부산진구 새싹로210번길 12,1,,129.0495128,35.17481087,,,,,,
컴포즈커피 서대신역점,카페,커피 전문점,부산광역시 서구 서대신동2가 576,대신해모로센트럴아파트,부산광역시 서구 대티로 178,,,129.011556,35.11135597,,,,,,
고품격커피공장 연지점,카페,커피 전문점,부산광역시 부산진구 연지동 166-12,,부산광역시 부산진구 동평로223번길 25,1,,129.0504463,35.17002791,,,,,,
다람이네,카페,커피 전문점,부산광역시 부산진구 양정동 389-13,,부산광역시 부산진구 거제대로60번길 34,1,,129.0691616,35.17319703,,,,,,
나이브,카페,커피 전문점,부산광역시 부산진구 전포동 349-31,,부산광역시 부산진구 전포대로186번길 37-1,1,,129.0676553,35.15315393,,,,,,
하이오커피 남천점,카페,커피 전문점,부산광역시 수영구 남천동 29-4,정원센텀뷰남천,부산광역시 수영구 남천바다로10번길 70,,,129.1107426,35.14674241,,,,,,
153커피하우스,카페,제과점업,부산광역시 남구 용당동 473-18,,부산광역시 남구 유엔평화로 161,1,,129.0981779,35.12228702,,,,,,
란나쏘이,카페,커피 전문점,부산광역시 동래구 온천동 153-8,SK허브스카이위아아파트,부산광역시 동래구 중앙대로 1523,,,129.0855805,35.22128918,,,,,,
로더,카페,커피 전문점,부산광역시 남구 대연동 60-33,,부산광역시 남구 용소로21번길 21-2,,,129.1020636,35.1356289,,,,,,
우리동네모라커피,카페,커피 전문점,부산광역시 사상구 모라동 656-5,기풍,부산광역시 사상구 사상로489번길 56,,,128.9851204,35.18926612,,,,,,
컴포즈커피,카페,커피 전문점,부산광역시 동구 수정동 96-5,,부산광역시 동구 중앙대로349번길 42,1,,129.045061,35.12632231,,,,,,
커피상점,카페,커피 전문점,부산광역시 동래구 사직동 56-14,,부산광역시 동래구 아시아드대로181번길 12,1,,129.0640895,35.20090408,,,,,,
모아,카페,커피 전문점,부산광역시 영도구 대교동1가 182-1,,부산광역시 영도구 절영로14번길 17,1,,129.0391898,35.09320406,,,,,,
히스피커피 괴정점,카페,커피 전문점,부산광역시 사하구 괴정동 969-6,,부산광역시 사하구 사하로 199,1,,128.993139,35.09950335,,,,,,
텐퍼센트동의대역점,카페,커피 전문점,부산광역시 부산진구 가야동 700,가야롯데캐슬골드아너,부산광역시 부산진구 가야대로 538,,,129.0306459,35.15317633,,,,,,
티엔모어티카페,카페,커피 전문점,부산광역시 해운대구 중동 957-2,삼환미포씨랜드,부산광역시 해운대구 달맞이길62번길 38,,,129.1711892,35.15850616,,,,,,
더리터 동래역점,카페,커피 전문점,부산광역시 동래구 온천동 1441-12,,부산광역시 동래구 충렬대로 150,1,,129.0764526,35.20481991,,,,,,
메모리카페;매점,카페,커피 전문점,부산광역시 기장군 기장읍 시랑리 408-1,수산과학원,부산광역시 기장군 기장읍 기장해안로 216,1,,129.2222877,35.19109216,,,,,,
카페051 시청점,카페,커피 전문점,부산광역시 연제구 연산동 1366-1,부산더샵시티애비뉴2차,부산광역시 연제구 시청로 12,1,,129.0762174,35.18134887,,,,,,
유동커피 강서,카페,커피 전문점,부산광역시 강서구 강동동 1643,,부산광역시 강서구 제도로 965-2,2,,128.9255928,35.19777949,,,,,,
티키타카커피,카페,커피 전문점,부산광역시 중구 중앙동1가 22-18,,부산광역시 중구 해관로 24-1,1,,129.0358859,35.10099168,,,,,,
트레소,카페,커피 전문점,부산광역시 영도구 대평동2가 80-2,,부산광역시 영도구 대평로 53,1,,129.0326741,35.09308821,,,,,,
텐퍼센트 장림점,카페,커피 전문점,부산광역시 사하구 장림동 197-3,,부산광역시 사하구 장림로 219,1,,128.9731578,35.08257257,,,,,,
이디야 부산금정초교점,카페,커피 전문점,부산광역시 금정구 장전동 636-38,,부산광역시 금정구 식물원로44번길 40,,,129.0836384,35.2269368,,,,,,
느낌,카페,커피 전문점,부산광역시 북구 만덕동 763-1,,부산광역시 북구 만덕3로 16,2,,129.0256805,35.2121957,,,,,,
이디야 김해국제공항국제선점,카페,커피 전문점,부산광역시 강서구 대저2동 2350-1,국제선터미널,부산광역시 강서구 공항진입로 108,3,,128.946968,35.1729255,,,,,,
동네카페,카페,커피 전문점,부산광역시 해운대구 반여동 1291-595,,부산광역시 해운대구 재반로211번길 16-10,1,,129.1300942,35.19630012,,,,,,
텐퍼센트 부산대점,카페,커피 전문점,부산광역시 금정구 장전동 422-40,,부산광역시 금정구 금정로 59-9,1,,129.0856711,35.22997469,,,평일 08:00/주말 9:00,일요일 22:00/나머지 23:00,,
히스피 부평점,카페,커피 전문점,부산광역시 중구 부평동2가 30-5,,부산광역시 중구 부평2길 3,,,129.0262674,35.09959384,,,,,,
커피벨,카페,커피 전문점,부산광역시 해운대구 중동 1735,대주자유,부산광역시 해운대구 중동1로17번길 10-17,1,,129.1629301,35.16402476,,,,,,
그레이팬더,카페,커피 전문점,부산광역시 부산진구 부전동 191-1,일부,부산광역시 부산진구 서전로10번길 60,1,,129.0597638,35.15523491,,,,,,
달리는커피 영도봉래점,카페,커피 전문점,부산광역시 영도구 봉래동3가 90-1,,부산광역시 영도구 대교로2번길 22-2,1,,129.0453889,35.09381153,,,,,,
설빙 다대포해수욕장점,카페,커피 전문점,부산광역시 사하구 다대동 1548-32,,부산광역시 사하구 다대로 706-1,1,,128.964397,35.04913643,,,,,,
컴포즈커피,카페,커피 전문점,부산광역시 서구 서대신동3가 203-2,,부산광역시 서구 대신로 83,,,129.0128293,35.11585873,,,,,,
하삼동커피 반여2동점,카페,커피 전문점,부산광역시 해운대구 반여동 1291-828,,부산광역시 해운대구 재반로 205,1,,129.1305468,35.19555321,,,,,,
엘팔로알토,카페,커피 전문점,부산광역시 중구 남포동4가 31-1,,부산광역시 중구 자갈치로 72,1,,129.0320035,35.09743411,,,,,,
우사기,카페,커피 전문점,부산광역시 수영구 광안동 156-37,,부산광역시 수영구 수영로588번길 101,1,,129.1188565,35.15754973,,,,,,
캔유라이크,카페,커피 전문점,부산광역시 부산진구 전포동 340-42,일부,부산광역시 부산진구 서전로68번길 82,1,,129.0671204,35.15412731,,,,,,
하삼동커피 부산벤처타워점,카페,커피 전문점,부산광역시 사상구 모라동 1375,부산벤처타워,부산광역시 사상구 모라로 22,,,128.9847212,35.19090379,,,,,,
바른커피,카페,커피 전문점,부산광역시 연제구 연산동 1244-20,,부산광역시 연제구 월드컵대로145번길 14,,,129.0800725,35.18575242,,,,,,
베어밀크 대연점,카페,커피 전문점,부산광역시 남구 대연동 62-10,대박갤러리,부산광역시 남구 수영로298번길 39-17,1,,129.1003048,35.13548818,,,,,,
아덴블랑제리 동아대병원점,카페,커피 전문점,부산광역시 서구 서대신동3가 61-46,,부산광역시 서구 보수대로280번길 39-4,,,129.0161015,35.12002183,,,,,,
고더커피 동아대부민캠퍼스점,카페,커피 전문점,부산광역시 서구 부민동1가 6-1,스카이파크빌딩,부산광역시 서구 구덕로 224,,,129.02033,35.10471252,,,,,,
어랏투고 수안역점,카페,커피 전문점,부산광역시 동래구 수안동 3-1,,부산광역시 동래구 충렬대로 222,1,,129.0833207,35.20161994,,,,,,
공차부산 센텀점,카페,기타 비알코올 음료점업,부산광역시 해운대구 우동 1470,에이스하이테크,부산광역시 해운대구 센텀중앙로 48,1,,129.1298597,35.17301866,,,,,,
조은커피숍,카페,커피 전문점,부산광역시 사상구 모라동 647-1,명칭없음,부산광역시 사상구 사상로531번길 7,,,128.9889852,35.19154573,,,,,,
삼삼사,카페,커피 전문점,부산광역시 부산진구 당감동 252-4,,부산광역시 부산진구 백양대로78번길 27,1,,129.0406278,35.16315568,,,,,,
엘림커피,카페,커피 전문점,부산광역시 기장군 기장읍 대라리 408-9,,부산광역시 기장군 기장읍 차성남로 51,1,,129.2138185,35.24140392,,,,,,
시즈널프로젝트,카페,커피 전문점,부산광역시 남구 대연동 949-15,,부산광역시 남구 석포로126번길 7,1,,129.0919281,35.12836979,,,,,,
쏘나서면지점,카페,커피 전문점,부산광역시 부산진구 부전동 170-37,,부산광역시 부산진구 중앙대로692번길 45,,,129.0618103,35.1545873,,,,,,
카페합창,카페,커피 전문점,부산광역시 영도구 대교동1가 106-1,,부산광역시 영도구 남항로9번길 41,1,,129.0385691,35.09161041,,,,,,
퀸보석카페,카페,커피 전문점,부산광역시 금정구 구서동 425-1,유원타워,부산광역시 금정구 중앙대로1841번길 2,1,,129.0916883,35.24874081,,,,,,
달리는커피 해운대달맞이점,카페,커피 전문점,부산광역시 해운대구 중동 1516-2,스카이맨션,부산광역시 해운대구 좌동순환로 443,,,129.1722927,35.16121683,,,,,,
메가엠지씨커피 온천장점,카페,커피 전문점,부산광역시 동래구 온천동 453-3,,부산광역시 동래구 온천장로 52,1,,129.0809441,35.2160432,,,,,,
본샹스,카페,커피 전문점,부산광역시 사하구 다대동 82-2,,부산광역시 사하구 다대로 387,1,,128.9788736,35.06821359,,,,,,
비알엘,카페,커피 전문점,부산광역시 기장군 장안읍 월내리 141-3,,부산광역시 기장군 장안읍 월내길 8,1,,129.2756876,35.32609493,,,,,,
민카페,카페,커피 전문점,부산광역시 해운대구 중동 181-1,해운대중동롯데캐슬마스터2차,부산광역시 해운대구 좌동로63번길 46,,,129.1724417,35.17135197,,,,,,
카페16온스 안락명장점,카페,커피 전문점,부산광역시 동래구 안락동 468-8,,부산광역시 동래구 안락로125번길 4,1,,129.1108798,35.19915993,,,,,,
태양커피,카페,커피 전문점,부산광역시 해운대구 우동 1493,센텀시티몰,부산광역시 해운대구 센텀4로 15,4,,129.1282849,35.1698653,,,,,,
올수록,카페,커피 전문점,부산광역시 부산진구 범천동 855-6,,부산광역시 부산진구 황령대로 2,,,129.059983,35.14739107,,,,,,
투썸플레이스 부산양정국제식품점,카페,커피 전문점,부산광역시 부산진구 양정동 321-2,,부산광역시 부산진구 거제대로 70,1,,129.0682377,35.17485293,,,,,,
영커피 개금주공3단지점,카페,커피 전문점,부산광역시 부산진구 당감동 491-16,,부산광역시 부산진구 백양대로136번길 41,1,,129.0338458,35.16182791,,,,,,
블루샥 지사점,카페,커피 전문점,부산광역시 강서구 지사동 1195-5,행복메디컬빌딩,부산광역시 강서구 과학산단2로20번길 20,,,128.8327042,35.15049349,,,,,,
카페반디나무,카페,커피 전문점,부산광역시 연제구 연산동 1288-19,,부산광역시 연제구 월드컵대로145번길 44,1,,129.0795293,35.18468037,,,,,,
킹프레소 다대점,카페,커피 전문점,부산광역시 사하구 다대동 933-21,,부산광역시 사하구 다대로554번길 4,1,,128.9705098,35.05725614,,,,,,
봄날,카페,커피 전문점,부산광역시 북구 만덕동 812-49,,부산광역시 북구 상학산복길 163,2,,129.0385834,35.21837727,,,,,,
디오티엔,카페,커피 전문점,부산광역시 기장군 일광읍 칠암리 1-4,,부산광역시 기장군 일광읍 문오성길 555,,,129.2591909,35.30066897,,,,,,
헤브어나이스데이 부산진역점,카페,커피 전문점,부산광역시 동구 수정동 3-3,,부산광역시 동구 중앙대로371번길 9,1,,129.0478335,35.12884381,,,,,,
히스피 연제점,카페,커피 전문점,부산광역시 연제구 거제동 577-1,연제그린타워,부산광역시 연제구 거제천로87번길 30,,,129.0719525,35.1832693,,,,,,
하삼동커피 서면NC점,카페,커피 전문점,부산광역시 부산진구 부전동 168-283,,부산광역시 부산진구 동천로 91-1,1,,129.0621448,35.15696968,,,,,,
이디야커피 부산태종대점,카페,커피 전문점,부산광역시 영도구 동삼동 1013,,부산광역시 영도구 태종로833번길 11,2,,129.0820658,35.06235806,,,,,,
블루샥 송상현광장점,카페,커피 전문점,부산광역시 부산진구 전포동 141-1,일부천우스카이뷰2차,부산광역시 부산진구 중앙대로 846,,,129.0667273,35.16634474,,,,,,
썬앤문카페테리아,카페,커피 전문점,부산광역시 강서구 대항동 17-11,,부산광역시 강서구 가덕해안로1169번길 104,1,,128.8343781,35.01515101,,,,,,
하이오커피 수영큐비메디컬점,카페,커피 전문점,부산광역시 수영구 광안동 1077-10,큐비메디컬센터,부산광역시 수영구 수영로 675,1,,129.1144874,35.16595273,,,,,,
카페모우,카페,커피 전문점,부산광역시 남구 대연동 1802-12,,부산광역시 남구 진남로 108,1,,129.0834401,35.13834772,,,,,,
로스터리늘,카페,커피 전문점,부산광역시 동래구 사직동 143-10,백산,부산광역시 동래구 여고로127번길 68,1,,129.0756878,35.20151678,,,,,,
원커피숍,카페,커피 전문점,부산광역시 사상구 괘법동 554-1,,부산광역시 사상구 사상로 179,2,,128.9853598,35.16119964,,,,,,
145커피 서면점,카페,커피 전문점,부산광역시 부산진구 부전동 144-1,,부산광역시 부산진구 동천로 105,,,129.0621531,35.15816809,,,,,,
메가엠지씨커피 범일동점,카페,커피 전문점,부산광역시 동구 범일동 830-222,,부산광역시 동구 범일로102번길 13,1,,129.0610495,35.13921739,,,,,,
연운당,카페,커피 전문점,부산광역시 부산진구 전포동 687-12,,부산광역시 부산진구 서전로46번길 62-8,1,,129.0644451,35.1550741,,,,,,
별빛콩,카페,커피 전문점,부산광역시 기장군 일광읍 삼성리 747-36,,부산광역시 기장군 일광읍 해빛3로 105,,,129.2213817,35.26578469,,,,,,
달리퐁카페,카페,커피 전문점,부산광역시 동구 수정동 1014-8,베스안하우스,부산광역시 동구 홍곡로 68,2,,129.0421869,35.124992,,,,,,
카페051 동백제니스점,카페,커피 전문점,부산광역시 해운대구 우동 1544,해운대동백두산위브더제니스,부산광역시 해운대구 해운대로 540,1,,129.1507021,35.15972783,,,,,,
이디야 남천동점,카페,커피 전문점,부산광역시 수영구 남천동 293,,부산광역시 수영구 황령대로489번길 11,1,,129.1077424,35.13889153,,,,,,
영커피 센텀리더스마크점,카페,커피 전문점,부산광역시 해운대구 우동 1514,일부센텀리더스마크,부산광역시 해운대구 APEC로 17,1,,129.1324182,35.16592666,,,,,,
커피베리,카페,커피 전문점,부산광역시 사상구 덕포동 781-8,,부산광역시 사상구 백양대로762번길 16-19,1,,128.9894554,35.17391108,,,,,,
메가엠지씨커피 센텀비스타점,카페,커피 전문점,부산광역시 수영구 민락동 774,센텀비스타동원2차,부산광역시 수영구 무학로63번길 142,1,,129.1189712,35.16746938,,,,,,
핑거커피,카페,자동 판매기 운영업,부산광역시 해운대구 반여동 1472-1,세동프라자,부산광역시 해운대구 삼어로 48,1,,129.1158957,35.20164963,,,,,,
카페드보스턴,카페,커피 전문점,부산광역시 부산진구 범천동 869-13,,부산광역시 부산진구 중앙대로 621-1,1,,129.0589743,35.14829136,,,,,,
커퍼게임,카페,커피 전문점,부산광역시 연제구 거제동 199-19,,부산광역시 연제구 여고로52번길 29,,,129.0701273,35.19439376,,,,,,
카페유,카페,커피 전문점,부산광역시 금정구 남산동 257,대화빌딩,부산광역시 금정구 금단로 190,1,,129.0939065,35.2657881,,,,,,
히얼이즈커피 명지국제신도시점,카페,커피 전문점,부산광역시 강서구 명지동 3358-2,,부산광역시 강서구 명지국제8로 257,1,,128.9208918,35.09827277,,,,,,
커피볶는시골커피 일광자이 푸르지오점,카페,커피 전문점,부산광역시 기장군 일광읍 삼성리 830-14,,부산광역시 기장군 일광읍 해빛6로 107-5,1,,129.2260665,35.26553635,,,,,,
명동포엠 부산직영점,카페,기타 비알코올 음료점업,부산광역시 영도구 남항동3가 141-94,,부산광역시 영도구 해안산책길 10,1,,129.0400604,35.08325846,,,,,,
댄싱컵 센텀리버SK점,카페,커피 전문점,부산광역시 연제구 연산동 2317,센텀리버SK뷰아파트,부산광역시 연제구 좌수영로 225,,,129.1137197,35.18377284,,,,,,
커피디셈버 더샵파크시티점,카페,커피 전문점,부산광역시 연제구 연산동 2311,더샵파크시티,부산광역시 연제구 안연로 33,1,,129.095535,35.19201911,,,,,,
나인,카페,커피 전문점,부산광역시 동래구 온천동 143-6,,부산광역시 동래구 온천장로119번길 51,2,,129.0821129,35.22181749,,,,,,
웰리빙아카이브댄싱컵,카페,커피 전문점,부산광역시 부산진구 범천동 839-412,제,부산광역시 부산진구 자유평화로 15,1,,129.0615269,35.14161537,,,,,,
샛별카페,카페,커피 전문점,부산광역시 사하구 당리동 349-23,,부산광역시 사하구 마하로 25,1,,128.9820483,35.10247891,,,,,,
후,카페,커피 전문점,부산광역시 영도구 대교동2가 158-2,,부산광역시 영도구 절영로35번길 11,1,,129.0399054,35.09111931,,,,,,
룩업,카페,커피 전문점,부산광역시 사하구 다대동 1582-11,,부산광역시 사하구 다송로72번길 33,1,,128.9821628,35.06054481,,,,,,
아덴블랑제리 온천천점,카페,커피 전문점,부산광역시 동래구 안락동 221-17,1~2층,부산광역시 동래구 온천천로457번길 22,,,129.1037096,35.19187732,,,,,,
한글카페153,카페,커피 전문점,부산광역시 영도구 동삼동 231-96,,부산광역시 영도구 웃서발로69번길 5,1,,129.0697715,35.07940244,,,,,,
컴포즈 초읍대공원점,카페,커피 전문점,부산광역시 부산진구 초읍동 292-33,,부산광역시 부산진구 새싹로 277,1,,129.0471064,35.18082628,,,,,,
빡벳커피 좌천점,카페,커피 전문점,부산광역시 동구 수정동 227-59,,부산광역시 동구 고관로 142-1,1,,129.048796,35.13048568,,,,,,
메가엠지씨커피 부산보수사거리점,카페,커피 전문점,부산광역시 중구 부평동2가 80-3,,부산광역시 중구 흑교로 38,1,,129.0254599,35.10285157,,,,,,
이디야커피 신호점,카페,커피 전문점,부산광역시 강서구 신호동 237,,부산광역시 강서구 신호산단5로 42,1,,128.8777043,35.08319649,,,,,,
하이오커피 구포GS더프레시점,카페,커피 전문점,부산광역시 북구 구포동 654-11,,부산광역시 북구 낙동대로1780번길 106,2,,129.0034703,35.20562642,,,,,,
버드,카페,커피 전문점,부산광역시 사하구 감천동 502-63,,부산광역시 사하구 감천로 93,2,,129.0021362,35.08852285,,,,,,
청솔로9 영도남항점,카페,커피 전문점,부산광역시 영도구 영선동2가 1-2,,부산광역시 영도구 절영로35번길 64,1,,129.0424313,35.08996833,,,,,,
소담,카페,커피 전문점,부산광역시 동래구 사직동 855-3,,부산광역시 동래구 아시아드대로161번길 21-1,1,,129.0643304,35.19827761,,,,,,
아리스타커피,카페,커피 전문점,부산광역시 해운대구 반여동 1441-132,,부산광역시 해운대구 선수촌로 59,1,,129.1185407,35.19908016,,,,,,
봉명동내커피 기장교리점,카페,커피 전문점,부산광역시 기장군 기장읍 교리 360-5,일부,부산광역시 기장군 기장읍 차성로436번길 38,1,,129.2198173,35.25314371,,,,,,
하삼동커피 시청비스타동원점,카페,커피 전문점,부산광역시 연제구 연산동 2362,시청역비스타동원,부산광역시 연제구 연제로 30,,,129.0769546,35.17926356,,,,,,
커피로만,카페,커피 전문점,부산광역시 부산진구 부전동 242-1,,부산광역시 부산진구 서면로68번길 40,1,,129.0583261,35.15522331,,,,,,
곤조커피,카페,커피 전문점,부산광역시 해운대구 재송동 1208-2,씨,부산광역시 해운대구 센텀중앙로 97,,,129.1245047,35.17515834,,,,,,
신창동커피,카페,커피 전문점,부산광역시 중구 신창동1가 13-5,,부산광역시 중구 광복로49번길 15,2,,129.0303466,35.10048082,,,,,,
퍼퍼커피,카페,커피 전문점,부산광역시 연제구 연산동 366-29,,부산광역시 연제구 과정로276번길 23,1,,129.0973933,35.1891483,,,,,,
콜투마인드,카페,커피 전문점,부산광역시 해운대구 재송동 1144-7,일부호,부산광역시 해운대구 재반로118번길 37,1,,129.1283356,35.18990589,,,,,,
어나더문,카페,커피 전문점,부산광역시 중구 보수동1가 99-1,,부산광역시 중구 대청로53번길 5,1,,129.0257777,35.10328784,,,,,,
엠지마루정원카페,카페,커피 전문점,부산광역시 연제구 연산동 344-23,MG옥상마루정원카페MG새마을금고연산제일,부산광역시 연제구 과정로 304,6,,129.0942716,35.18898607,,,,,,
하삼동커피 다대포해수욕장역점,카페,커피 전문점,부산광역시 사하구 다대동 1548-37,몰운대종합시장,부산광역시 사하구 다대로 704,,,128.9646185,35.04877237,,,,,,
페퍼파이,카페,커피 전문점,부산광역시 수영구 광안동 149-6,,부산광역시 수영구 광안로21번가길 11-1,,,129.1159239,35.15701525,,,,,,
복고다방,카페,커피 전문점,부산광역시 부산진구 연지동 238-7,,부산광역시 부산진구 동평로235번길 45,1,,129.0515915,35.17192799,,,,,,
타타스베이글,카페,커피 전문점,부산광역시 금정구 장전동 419-43,,부산광역시 금정구 금강로 265,1,,129.0850361,35.23176991,,,10:30,21:00,20:30,
커피디셈버 온천천점,카페,커피 전문점,부산광역시 연제구 거제동 1462-40,,부산광역시 연제구 거제천로287번길 29,,,129.0882974,35.1931715,,,,,,
제이제이제이,카페,커피 전문점,부산광역시 부산진구 초읍동 171-12,,부산광역시 부산진구 성지로 156,1,,129.0476436,35.18211487,,,,,,
위너스커피 초읍점,카페,커피 전문점,부산광역시 부산진구 초읍동 260-48,,부산광역시 부산진구 새싹로 240,1,,129.048329,35.17749834,,,,,,
고더커피 남구청점,카페,커피 전문점,부산광역시 남구 대연동 1762-1,일부호,부산광역시 남구 못골로 36,1,,129.0861676,35.13560631,,,,,,
컴포즈커피 모라제일점,카페,커피 전문점,부산광역시 사상구 모라동 423-4,,부산광역시 사상구 모라로110번길 29,1,,128.9926409,35.18525852,,,,,,
준,카페,커피 전문점,부산광역시 부산진구 부전동 466-18,,부산광역시 부산진구 부전로 89-1,1,,129.0544478,35.15808277,,,,,,
컴포즈커피 센텀재송점,카페,커피 전문점,부산광역시 해운대구 재송동 939-11,세계로교회,부산광역시 해운대구 해운대로76번길 62,1,,129.1173118,35.19022537,,,,,,
블루샥 반여센텀점,카페,커피 전문점,부산광역시 해운대구 반여동 1330-16,,부산광역시 해운대구 반여로 43,1,,129.121306,35.19607597,,,,,,
서안에프앤비-니도,카페,커피 전문점,부산광역시 기장군 일광읍 문동리 201-7,,부산광역시 기장군 일광읍 일광로 750,3,,129.2591034,35.30819482,,,,,,
디엠와이,카페,커피 전문점,부산광역시 부산진구 전포동 204-24,,부산광역시 부산진구 동성로87번길 5,2,,129.067913,35.15813295,,,,,,
쉬즈베이글,카페,커피 전문점,부산광역시 서구 부민동2가 10-23,,부산광역시 서구 구덕로 205,1,,129.0197383,35.10295608,,,,,,
누이,카페,커피 전문점,부산광역시 수영구 망미동 793-29,,부산광역시 수영구 연수로336번길 28-3,1,,129.1066601,35.17052282,,,,,,
크림,카페,커피 전문점,부산광역시 남구 문현동 1068-7,,부산광역시 남구 장고개로67번길 4,2,,129.0701082,35.1313039,,,,,,
먼스커피바,카페,커피 전문점,부산광역시 부산진구 전포동 204-24,,부산광역시 부산진구 동성로87번길 5,1,,129.067913,35.15813295,,,,,,
할리데이 온 시티,카페,커피 전문점,부산광역시 금정구 장전동 417-8,,부산광역시 금정구 금정로 77-1,1,,129.0863941,35.23162034,,,12:00,0:00,23:30,
카페프리헷 화명점,카페,커피 전문점,부산광역시 북구 화명동 732,삼한힐파크,부산광역시 북구 화명대로 101,,,129.0189211,35.23498186,,,,,,
더다락,카페,커피 전문점,부산광역시 금정구 장전동 399-13,,부산광역시 금정구 부산대학로 60,4,,129.0848906,35.23166428,일,1,11:00,금요일 14:00/나머지 21:00,,
댄싱컵 용호데시앙점,카페,커피 전문점,부산광역시 남구 용호동 980,데시앙해링턴플레이스파크시티,부산광역시 남구 용주로 36,1,,129.1131496,35.11252863,,,,,,
컴포즈커피 거제홈타운점,카페,커피 전문점,부산광역시 연제구 거제동 1477-5,,부산광역시 연제구 아시아드대로 86,1,,129.0675617,35.19235594,,,,,,
텐퍼센트커피 안락한전점,카페,커피 전문점,부산광역시 동래구 안락동 596-1,,부산광역시 동래구 충렬대로428번길 7,1,,129.1051351,35.19606991,,,,,,
아라카페,카페,커피 전문점,부산광역시 영도구 청학동 148-103,,부산광역시 영도구 청학남로 39-1,,,129.0617377,35.08948827,,,,,,
오맛빵,카페,커피 전문점,부산광역시 해운대구 재송동 109-3,일부호,부산광역시 해운대구 재반로42번길 5,1,,129.126973,35.18269364,,,,,,
플러스82 연산점,카페,커피 전문점,부산광역시 연제구 연산동 1386-35,,부산광역시 연제구 월드컵대로145번길 78,,,129.07852,35.18340905,,,,,,
051커피 망미점,카페,커피 전문점,부산광역시 수영구 망미동 413-9,,부산광역시 수영구 과정로 54,1,,129.1076842,35.17618225,,,,,,
라비타커피,카페,커피 전문점,부산광역시 연제구 거제동 1518,옆부산의료원,부산광역시 연제구 월드컵대로 359,1,,129.0600491,35.18741951,,,,,,
댄싱컵 망미배산로점,카페,커피 전문점,부산광역시 수영구 망미동 827-2,,부산광역시 수영구 연수로275번길 33,1,,129.1007526,35.17466262,,,,,,
컴포즈커피 부산과기대점,카페,커피 전문점,부산광역시 북구 구포동 1261-43,,부산광역시 북구 시랑로 80,,,129.0056986,35.19846129,,,,,,
리즈커피클럽,카페,커피 전문점,부산광역시 동래구 명륜동 700-148,,부산광역시 동래구 명륜로207번길 42,1,,129.0806788,35.21253328,,,,,,
라운지비,카페,커피 전문점,부산광역시 영도구 청학동 1-174,,부산광역시 영도구 해양로111번길 33,6,,129.0675422,35.09575165,,,,,,
커피하우스6,카페,커피 전문점,부산광역시 사상구 감전동 128-51,,부산광역시 사상구 새벽시장로 41,1,,128.9784257,35.15581593,,,,,,
라운지,카페,커피 전문점,부산광역시 연제구 연산동 1310-4,2~4층,부산광역시 연제구 중앙대로1056번길 13,,,129.0796614,35.18254236,,,,,,
노리터,카페,커피 전문점,부산광역시 강서구 명지동 3243,엘크루블루오션4단지,부산광역시 강서구 명지오션시티6로 33,,,128.9083454,35.08406981,,,,,,
고더커피 용호점,카페,커피 전문점,부산광역시 남구 용호동 391-1,,부산광역시 남구 동명로 152,1,,129.1135418,35.11921738,,,,,,
메가엠지씨커피 센텀점,카페,커피 전문점,부산광역시 해운대구 재송동 1196,더샵센텀스타,부산광역시 해운대구 센텀동로 123,1,,129.1243045,35.17758594,,,,,,
픽,카페,커피 전문점,부산광역시 남구 용당동 180-6,,부산광역시 남구 신선로 313,1,,129.0953669,35.11402697,,,,,,
럭키세븐,카페,커피 전문점,부산광역시 해운대구 재송동 432-1,,부산광역시 해운대구 해운대로177번길 14,1,,129.1236349,35.18222057,,,,,,
스미다2,카페,기타 비알코올 음료점업,부산광역시 연제구 연산동 346-66,,부산광역시 연제구 과정로278번길 47-11,2,,129.0949885,35.18997394,,,,,,
하삼동커피 온천천점,카페,커피 전문점,부산광역시 연제구 거제동 139-1,벽산이메타폴리스,부산광역시 연제구 온천천공원길 4,,,129.081593,35.19544073,,,,,,
블루샥 신호점,카페,커피 전문점,부산광역시 강서구 신호동 236-3,,부산광역시 강서구 신호산단2로 53,1,,128.8776817,35.08412508,,,,,,
컴포즈커피 부산경찰청점,카페,커피 전문점,부산광역시 부산진구 양정동 257-12,보성오페라골드,부산광역시 부산진구 동평로405번길 105,1,,129.0723785,35.17799926,,,,,,
장빙수 센텀리더스마크점,카페,커피 전문점,부산광역시 해운대구 우동 1514,일부센텀리더스마크,부산광역시 해운대구 APEC로 17,1,,129.1324182,35.16592666,,,,,,
달우물,카페,기타 비알코올 음료점업,부산광역시 수영구 광안동 169-4,,부산광역시 수영구 수영로540번길 26,1,,129.1136401,35.15356768,,,,,,
준커피카페,카페,커피 전문점,부산광역시 사하구 당리동 304-46,,부산광역시 사하구 승학로2번길 40,2,,128.9708828,35.10511223,,,,,,
이디야 서면태화점,카페,커피 전문점,부산광역시 부산진구 부전동 190-2,,부산광역시 부산진구 서전로10번길 71,4,,129.0599697,35.15469972,,,,,,
호수,카페,커피 전문점,부산광역시 해운대구 반송동 257-257,,부산광역시 해운대구 아랫반송로 15-2,2,,129.1479569,35.22552376,,,,,,
