이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
예스,속옷 및 잠옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
마리,여자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 1436-3,부산광역시 동래구 중앙대로 1331,129.0776462,35.20598894
패션오드리,여자용 겉옷 소매업,구서2동,부산광역시 금정구 구서동 654-45,부산광역시 금정구 금강로565번길 12,129.0869969,35.25813967
갤러리비야비야,예술품 및 골동품 소매업,장전2동,부산광역시 금정구 장전동 344-9,부산광역시 금정구 금정로 29-15,129.0850889,35.22739843
아트,남자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 305-2,부산광역시 금정구 금정로68번길 26-9,129.0876997,35.23028214
아이비클럽 금정점,기타 의복 소매업,구서1동,부산광역시 금정구 구서동 490-3,부산광역시 금정구 체육공원로 23,129.0954634,35.24645866
르까프 이마트금정,기타 의복 소매업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
롯데의류,기타 의복 소매업,온천3동,부산광역시 동래구 온천동 616-6,부산광역시 동래구 충렬대로126번길 49,129.0734078,35.20381775
플로라뷰티,화장품; 비누 및 방향제 소매업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
채플린악세사리,가방 및 기타 가죽제품 소매업,온천1동,부산광역시 동래구 온천동 147-14,부산광역시 동래구 온천장로119번길 44-27,129.0833893,35.22277778
와우와우,가방 및 기타 가죽제품 소매업,장전2동,부산광역시 금정구 장전동 316-1,부산광역시 금정구 금정로 58,129.0864365,35.22984435
영남종합상사,문구용품 및 회화용품 소매업,장전1동,부산광역시 금정구 장전동 226-3,부산광역시 금정구 금강로321번길 53,129.0835191,35.2368695
현영이네,여자용 겉옷 소매업,온천3동,부산광역시 동래구 온천동 1459-21,부산광역시 동래구 여고북로 183,129.0746053,35.20255364
빈트,기타 중고 상품 소매업,장전2동,부산광역시 금정구 장전동 521-254,부산광역시 금정구 금샘로 24,129.0780007,35.22807908
비와이씨장전속옷,속옷 및 잠옷 소매업,장전1동,부산광역시 금정구 장전동 211-5,부산광역시 금정구 금정로 151,129.0876582,35.23808679
오렌지,셔츠 및 블라우스 소매업,온천2동,부산광역시 동래구 온천동 707,부산광역시 동래구 충렬대로107번길 54,129.0744066,35.20984738
이클로,가죽 및 모피 의복 소매업,구서2동,부산광역시 금정구 구서동 230-1,부산광역시 금정구 중앙대로1945번길 36,129.0891814,35.25806591
코코,여자용 겉옷 소매업,온천1동,부산광역시 동래구 온천동 135-9,부산광역시 동래구 금강로 130,129.0804992,35.22012405
롯데먼싱웨어 동래점,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
미샤,화장품; 비누 및 방향제 소매업,온천1동,부산광역시 동래구 온천동 153-8,부산광역시 동래구 중앙대로 1523,129.0855805,35.22128918
부산대FX타임.타임옴므양문정,여자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 423-5,부산광역시 금정구 금강로 242,129.0849245,35.22955501
갤러리쥴스,예술품 및 골동품 소매업,장전2동,부산광역시 금정구 장전동 421-6,부산광역시 금정구 부산대학로49번길 7,129.0859807,35.23091556
코오롱인더스트리FNC부문롯데동래점주 백화점,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
코코양품점,여자용 겉옷 소매업,온천3동,부산광역시 동래구 온천동 1249-6,부산광역시 동래구 아시아드대로 225,129.0665908,35.2042948
오가닉맘,유아용 의류 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
릿,가죽 및 모피 의복 소매업,장전2동,부산광역시 금정구 장전동 303-1,부산광역시 금정구 금정로68번길 12-9,129.0874349,35.23023264
슈비너스 금정점,속옷 및 잠옷 소매업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
에꼴리에 부산대점,기타 의복 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
아토아이,화장품; 비누 및 방향제 소매업,장전2동,부산광역시 금정구 장전동 521-254,부산광역시 금정구 금샘로 24,129.0780007,35.22807908
누메로우노주,남자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 423-34,부산광역시 금정구 부산대학로49번길 36,129.0853677,35.22970958
우성비즈공예,의복 액세서리 및 모조 장신구 소매업,부곡1동,부산광역시 금정구 부곡동 305-7,부산광역시 금정구 부곡로 104,129.0917816,35.22500301
오리강패션,여자용 겉옷 소매업,온천1동,부산광역시 동래구 온천동 210-17,부산광역시 동래구 금강공원로 31,129.0811375,35.21888751
네파부산동래 2호점,기타 의복 소매업,명륜동,부산광역시 동래구 명륜동 506-3,부산광역시 동래구 충렬대로 197,129.0811338,35.20455026
제임스딘 이마트금정점,속옷 및 잠옷 소매업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
금강팬시,문구용품 및 회화용품 소매업,온천3동,부산광역시 동래구 온천동 1266-36,부산광역시 동래구 사직북로28번길 130,129.0651372,35.20239114
피부상담,화장품; 비누 및 방향제 소매업,장전1동,부산광역시 금정구 장전동 655-13,부산광역시 금정구 수림로 61,129.085726,35.23984131
구디너프,문구용품 및 회화용품 소매업,온천2동,부산광역시 동래구 온천동 707,부산광역시 동래구 충렬대로107번길 54,129.0744066,35.20984738
바이다겸,여자용 겉옷 소매업,구서1동,부산광역시 금정구 구서동 258-15,부산광역시 금정구 금강로 452,129.0888311,35.24784397
파리게이츠 금정점,기타 의복 소매업,부곡3동,부산광역시 금정구 부곡동 225-62,부산광역시 금정구 중앙대로 1687,129.0915788,35.23507233
다감문구,문구용품 및 회화용품 소매업,구서1동,부산광역시 금정구 구서동 409-26,부산광역시 금정구 구서로 26,129.0882686,35.24689847
비비안,속옷 및 잠옷 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
클라비스,여자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
제노아트장전점,의복 액세서리 및 모조 장신구 소매업,장전2동,부산광역시 금정구 장전동 521-62,부산광역시 금정구 소정로 39,129.0797176,35.2282208
엔씨치크 부산대점,기타 의복 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
스마일코스메틱,화장품; 비누 및 방향제 소매업,명륜동,부산광역시 동래구 명륜동 401-1,부산광역시 동래구 명륜로112번길 11,129.083693,35.20373124
슈펜 부산대점,의복 액세서리 및 모조 장신구 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
케이지컴퍼니,신발 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
파라렐라,기타 의복 소매업,온천3동,부산광역시 동래구 온천동 1266-5,부산광역시 동래구 아시아드대로 205,129.0657145,35.20264262
라비아또 부산점,남자용 겉옷 소매업,온천3동,부산광역시 동래구 온천동 1411-6,부산광역시 동래구 아시아드대로 216,129.0667927,35.20316491
테일러컴퍼니 동래점,남자용 겉옷 소매업,명륜동,부산광역시 동래구 명륜동 681-31,부산광역시 동래구 동래로 43,129.0795207,35.21103925
란찌,남자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
롯데동래네파 백화점,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
놀러와문방구,문구용품 및 회화용품 소매업,장전1동,부산광역시 금정구 장전동 118-2,부산광역시 금정구 수림로72번길 14,129.0847575,35.24062397
카라,셔츠 및 블라우스 소매업,부곡3동,부산광역시 금정구 부곡동 225-6,부산광역시 금정구 중앙대로1685번길 22,129.0906585,35.23516032
다이나핏,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
비비익스트림,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 1432-6,부산광역시 동래구 중앙대로1335번길 57,129.0747128,35.20721076
